epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4821,2.44396,9.40242,4.11856,0.00333,1,0.57647,0.2486,0.97191,5.44039,1.69632,0,0,0
2,65.9558,2.96026,10.6337,4.94433,0.00333,1,0.62531,0.27193,0.92853,5.36153,1.66192,1.802e-05,1.802e-05,1.802e-05
3,100.696,2.54534,10.0715,3.97627,0.00333,1,0.64172,0.28676,0.83928,5.30515,1.59376,3.208e-05,3.208e-05,3.208e-05
4,131.643,2.20236,7.97178,3.53797,0.00333,1,0.64115,0.3375,0.77702,5.26772,1.59341,4.218e-05,4.218e-05,4.218e-05
5,164.201,2.74351,8.8908,3.93628,0.00333,1,0.68078,0.40359,0.72849,5.16395,1.6412,4.832e-05,4.832e-05,4.832e-05
6,195.881,1.80076,6.9493,2.51652,0.00333,1,0.71933,0.43128,0.894,5.26496,1.76998,5.05e-05,5.05e-05,5.05e-05
7,228.313,1.58112,6.50365,2.31522,0.00333,1,0.74063,0.38191,1.21334,5.3174,1.98425,4.872e-05,4.872e-05,4.872e-05
8,260.586,1.92199,6.96094,2.87222,0.00333,1,0.76272,0.29614,1.432,5.69956,2.16008,4.298e-05,4.298e-05,4.298e-05
9,297.871,2.36492,7.73891,3.01971,0.00333,1,0.75287,0.21703,1.59043,5.73732,2.20542,3.328e-05,3.328e-05,3.328e-05
