epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.032,2.23536,6.29212,2.34438,0.00552,0.75,0.32223,0.19177,1.00407,4.59719,1.58076,0,0,0
2,65.2624,2.45595,6.56543,2.55221,0.00575,0.75,0.33587,0.19744,0.9885,4.59741,1.58577,1.50197e-05,1.50197e-05,1.50197e-05
3,98.4846,2.31858,6.19643,2.46848,0.00589,0.75,0.36653,0.21598,0.95234,4.52925,1.57686,2.67387e-05,2.67387e-05,2.67387e-05
4,131.079,2.16152,6.23697,2.43023,0.00638,0.83333,0.40199,0.23616,0.93212,4.5142,1.53761,3.5157e-05,3.5157e-05,3.5157e-05
5,164.268,2.17297,6.001,2.47928,0.00662,0.83333,0.40996,0.23238,0.92978,4.469,1.48643,4.02747e-05,4.02747e-05,4.02747e-05
6,198.132,1.69153,5.64226,2.00892,0.00754,0.83333,0.41364,0.22327,0.90568,4.46653,1.45032,4.20917e-05,4.20917e-05,4.20917e-05
7,230.127,1.57648,5.32032,1.95659,0.00844,0.83333,0.4113,0.22234,0.8863,4.44873,1.46839,4.06081e-05,4.06081e-05,4.06081e-05
