epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,305.179,0.32141,1.63186,0.89987,0.82575,0.83333,0.80808,0.76279,0.39671,2.13309,0.81742,0.000154324,0.000154324,0.000154324
43,312.24,0.28897,1.30248,0.85465,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000141456,0.000141456,0.000141456
44,319.414,0.32168,1.31883,0.89046,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000127796,0.000127796,0.000127796
45,326.948,0.28071,1.26866,0.82657,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,0.000113344,0.000113344,0.000113344
46,333.994,0.27121,1.17619,0.86875,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,9.81e-05,9.81e-05,9.81e-05
47,341.253,0.3003,1.30642,0.80193,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,8.2064e-05,8.2064e-05,8.2064e-05
48,348.888,0.26651,1.20981,0.9035,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,6.5236e-05,6.5236e-05,6.5236e-05
49,356.202,0.27828,1.21475,0.81216,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,4.7616e-05,4.7616e-05,4.7616e-05
50,363.179,0.26305,1.23689,0.87196,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,2.9204e-05,2.9204e-05,2.9204e-05
1,8.29988,0.79719,2.74944,1.13199,0.00333,1,0.54287,0.47986,0.34136,2.967,0.96938,0,0,0
2,15.3972,0.77032,2.60935,1.2044,0.00333,1,0.58542,0.52036,0.33893,2.96617,0.96899,1.9604e-05,1.9604e-05,1.9604e-05
3,22.8027,0.88796,2.56094,1.29937,0.00333,1,0.6975,0.6138,0.32999,2.96431,0.96802,3.8416e-05,3.8416e-05,3.8416e-05
4,30.0978,0.5953,2.51035,1.0651,0.00333,1,0.72496,0.64937,0.32267,2.96109,0.96667,5.6436e-05,5.6436e-05,5.6436e-05
5,37.491,0.57253,2.33377,1.01955,0.00333,1,0.7532,0.67194,0.33633,2.94833,0.97422,7.3664e-05,7.3664e-05,7.3664e-05
6,44.8977,0.60008,2.34592,1.05318,0.00333,1,0.77985,0.70045,0.3268,2.94463,0.9853,9.01e-05,9.01e-05,9.01e-05
7,52.0429,0.51386,2.08223,1.02582,0.00333,1,0.77974,0.71528,0.32198,2.93111,0.98366,0.000105744,0.000105744,0.000105744
8,59.2045,0.44663,1.83769,1.01604,0.00333,1,0.80806,0.74412,0.34612,2.89328,0.97342,0.000120596,0.000120596,0.000120596
9,66.4465,0.50514,1.65031,1.01462,0.00333,1,0.80804,0.72728,0.39174,2.82759,0.98343,0.000134656,0.000134656,0.000134656
10,73.6308,0.48408,1.38911,1.05842,0.00333,1,0.80804,0.72728,0.40503,2.73518,0.98686,0.000147924,0.000147924,0.000147924
11,80.8026,0.47044,1.28786,0.95859,0.00712,0.83333,0.80803,0.71573,0.40274,2.61845,0.99829,0.0001604,0.0001604,0.0001604
12,87.9307,0.56749,1.31129,0.98988,0.73408,0.83333,0.80802,0.70344,0.43297,2.53572,1.02171,0.000172084,0.000172084,0.000172084
13,94.9952,0.46369,1.18562,1.02888,0.77145,0.83333,0.77966,0.70128,0.45234,2.50427,1.0403,0.000182976,0.000182976,0.000182976
14,102.266,0.40866,1.06974,0.89516,0.75701,0.83333,0.753,0.65942,0.45008,2.51004,1.00763,0.000193076,0.000193076,0.000193076
15,109.697,0.50797,0.9624,0.99899,0.69629,0.83333,0.72465,0.65557,0.41238,2.57623,0.9598,0.000202384,0.000202384,0.000202384
16,116.897,0.51294,1.01186,0.97501,0.02816,0.83333,0.69713,0.64085,0.38104,2.67155,0.92602,0.0002109,0.0002109,0.0002109
17,124.171,0.43861,0.8779,0.93485,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000218624,0.000218624,0.000218624
18,131.428,0.35097,0.84532,0.86087,0.00673,0.83333,0.69712,0.64978,0.37972,2.73275,0.8976,0.000225556,0.000225556,0.000225556
19,138.512,0.42262,0.87533,0.91965,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000231696,0.000231696,0.000231696
20,145.723,0.5384,0.99287,1.00852,0.82837,0.83333,0.69715,0.64981,0.40462,2.71552,0.89768,0.000237044,0.000237044,0.000237044
21,152.856,0.46805,0.80736,0.9648,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.0002416,0.0002416,0.0002416
22,159.705,0.46839,0.91831,0.99484,0.80447,0.68902,0.69707,0.64816,0.43572,2.69523,0.8888,0.000245364,0.000245364,0.000245364
23,166.994,0.46253,0.95425,0.98751,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000248336,0.000248336,0.000248336
24,174.154,0.44492,0.88022,0.89769,0.82548,0.79408,0.72438,0.6816,0.46331,2.63878,0.87984,0.000250516,0.000250516,0.000250516
25,181.409,0.44669,0.88265,0.92139,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.000251904,0.000251904,0.000251904
26,188.703,0.47673,0.92343,0.96722,0.83067,0.82001,0.80755,0.77621,0.4591,2.61555,0.85551,0.0002525,0.0002525,0.0002525
27,195.836,0.46694,0.84641,0.91957,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000252304,0.000252304,0.000252304
28,203.398,0.46131,0.8314,1.00842,0.8188,0.83333,0.77916,0.75061,0.42886,2.55129,0.84592,0.000251316,0.000251316,0.000251316
29,210.515,0.42822,0.75041,0.90955,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000249536,0.000249536,0.000249536
30,217.717,0.41979,0.79349,0.90829,0.78394,0.83333,0.77928,0.72447,0.43904,2.47301,0.85023,0.000246964,0.000246964,0.000246964
31,224.954,0.4084,0.78035,1.03102,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.0002436,0.0002436,0.0002436
32,232.069,0.44341,0.93139,0.93558,0.78752,0.83333,0.77958,0.71517,0.44555,2.46718,0.84576,0.000239444,0.000239444,0.000239444
33,239.294,0.40637,0.72043,0.93162,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000234496,0.000234496,0.000234496
34,246.541,0.47647,0.90776,0.95511,0.79394,0.83333,0.7797,0.71636,0.43081,2.39974,0.8322,0.000228756,0.000228756,0.000228756
35,253.893,0.39391,0.79727,0.92602,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.000222224,0.000222224,0.000222224
36,261.031,0.41568,0.75085,0.91983,0.81673,0.83333,0.77975,0.7235,0.40964,2.28733,0.82115,0.0002149,0.0002149,0.0002149
37,268.451,0.42064,0.81329,0.8873,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000206784,0.000206784,0.000206784
38,275.554,0.52689,0.93153,1.00823,0.82474,0.83333,0.77976,0.73718,0.40943,2.22922,0.82265,0.000197876,0.000197876,0.000197876
39,282.778,0.48512,0.82469,0.96273,0.82572,0.83333,0.80808,0.76267,0.41097,2.15995,0.82108,0.000188176,0.000188176,0.000188176
40,290.212,0.39094,0.77912,0.90843,0.82572,0.83333,0.80808,0.76267,0.41097,2.15995,0.82108,0.000177684,0.000177684,0.000177684
41,297.123,0.30763,1.63667,0.91154,0.82575,0.83333,0.80808,0.76279,0.39671,2.13309,0.81742,0.0001664,0.0001664,0.0001664
42,304.277,0.32141,1.63186,0.89987,0.82575,0.83333,0.80808,0.76279,0.39671,2.13309,0.81742,0.000154324,0.000154324,0.000154324
43,311.459,0.28897,1.30248,0.85465,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000141456,0.000141456,0.000141456
44,318.603,0.32168,1.31883,0.89046,0.82565,0.83333,0.80808,0.78778,0.38791,2.17294,0.81576,0.000127796,0.000127796,0.000127796
45,325.634,0.28071,1.26866,0.82657,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,0.000113344,0.000113344,0.000113344
46,332.836,0.27121,1.17619,0.86875,0.82611,0.83333,0.80808,0.8076,0.37654,2.265,0.81778,9.81e-05,9.81e-05,9.81e-05
47,339.962,0.3003,1.30642,0.80193,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,8.2064e-05,8.2064e-05,8.2064e-05
48,347.252,0.26651,1.20981,0.9035,0.82731,0.83333,0.80811,0.80774,0.36761,2.30114,0.81665,6.5236e-05,6.5236e-05,6.5236e-05
49,354.386,0.27828,1.21475,0.81216,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,4.7616e-05,4.7616e-05,4.7616e-05
50,361.655,0.26305,1.23689,0.87196,0.82847,0.83333,0.80809,0.80773,0.36587,2.28776,0.81722,2.9204e-05,2.9204e-05,2.9204e-05
1,8.51017,0.79719,2.74944,1.13199,0.00333,1,0.54287,0.47986,0.34136,2.967,0.96938,0,0,0
2,16.0938,0.77032,2.60935,1.2044,0.00333,1,0.58542,0.52036,0.33893,2.96617,0.96899,1.9604e-05,1.9604e-05,1.9604e-05
3,23.4515,0.88796,2.56094,1.29937,0.00333,1,0.6975,0.6138,0.32999,2.96431,0.96802,3.8416e-05,3.8416e-05,3.8416e-05
4,30.8728,0.5953,2.51035,1.0651,0.00333,1,0.72496,0.64937,0.32267,2.96109,0.96667,5.6436e-05,5.6436e-05,5.6436e-05
5,38.2667,0.57253,2.33377,1.01955,0.00333,1,0.7532,0.67194,0.33633,2.94833,0.97422,7.3664e-05,7.3664e-05,7.3664e-05
6,45.4063,0.60008,2.34592,1.05318,0.00333,1,0.77985,0.70045,0.3268,2.94463,0.9853,9.01e-05,9.01e-05,9.01e-05
7,52.6551,0.51386,2.08223,1.02582,0.00333,1,0.77974,0.71528,0.32198,2.93111,0.98366,0.000105744,0.000105744,0.000105744
8,59.7835,0.44663,1.83769,1.01604,0.00333,1,0.80806,0.74412,0.34612,2.89328,0.97342,0.000120596,0.000120596,0.000120596
9,66.8978,0.50514,1.65031,1.01462,0.00333,1,0.80804,0.72728,0.39174,2.82759,0.98343,0.000134656,0.000134656,0.000134656
10,74.001,0.48408,1.38911,1.05842,0.00333,1,0.80804,0.72728,0.40503,2.73518,0.98686,0.000147924,0.000147924,0.000147924
11,81.4094,0.47044,1.28786,0.95859,0.00712,0.83333,0.80803,0.71573,0.40274,2.61845,0.99829,0.0001604,0.0001604,0.0001604
12,88.4011,0.56749,1.31129,0.98988,0.73408,0.83333,0.80802,0.70344,0.43297,2.53572,1.02171,0.000172084,0.000172084,0.000172084
13,95.3896,0.46369,1.18562,1.02888,0.77145,0.83333,0.77966,0.70128,0.45234,2.50427,1.0403,0.000182976,0.000182976,0.000182976
14,102.424,0.40866,1.06974,0.89516,0.75701,0.83333,0.753,0.65942,0.45008,2.51004,1.00763,0.000193076,0.000193076,0.000193076
