epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.33897,0.78331,3.22407,1.05228,0.00225,0.5,0.3765,0.33659,0.56634,3.28596,0.95896,0,0,0
2,15.8898,0.76181,3.11595,1.09296,0.00227,0.5,0.3994,0.35576,0.54968,3.28398,0.9569,1.63399e-05,1.63399e-05,1.63399e-05
3,23.3752,0.7965,3.07113,1.1122,0.0043,0.66667,0.43719,0.39975,0.52777,3.27304,0.95118,3.20197e-05,3.20197e-05,3.20197e-05
4,30.7364,0.65522,3.02322,0.99914,0.00511,0.75,0.48815,0.44977,0.48907,3.26234,0.93976,4.70394e-05,4.70394e-05,4.70394e-05
5,38.1827,0.60487,2.87007,0.97983,0.00748,1,0.5025,0.45215,0.4462,3.25013,0.93022,6.13989e-05,6.13989e-05,6.13989e-05
6,45.4447,0.62283,2.89491,0.97262,0.00719,1,0.50231,0.46426,0.43991,3.23236,0.92963,7.50984e-05,7.50984e-05,7.50984e-05
7,52.7278,0.61125,2.68133,0.99544,0.00697,1,0.50204,0.4572,0.44321,3.21756,0.92758,8.81376e-05,8.81376e-05,8.81376e-05
8,60.3892,0.55449,2.5116,0.98075,0.00689,1,0.50198,0.4572,0.46241,3.18453,0.92557,0.000100517,0.000100517,0.000100517
9,67.9542,0.6209,2.29912,1.01108,0.00682,1,0.50196,0.45297,0.49342,3.13883,0.92579,0.000112236,0.000112236,0.000112236
10,74.9785,0.52676,1.98852,0.99475,0.00679,1,0.50205,0.43805,0.51971,3.09357,0.93173,0.000123295,0.000123295,0.000123295
11,82.1749,0.54166,1.74432,0.93384,0.00679,1,0.50213,0.44232,0.52596,3.03295,0.93957,0.000133693,0.000133693,0.000133693
12,89.3753,0.61742,1.52028,0.9652,0.00676,1,0.50214,0.44364,0.55011,2.95903,0.95616,0.000143432,0.000143432,0.000143432
13,96.7274,0.48188,1.17142,0.96547,0.00671,1,0.50341,0.44933,0.56016,2.87881,0.96432,0.00015251,0.00015251,0.00015251
14,104.067,0.54275,1.1218,0.89092,0.0067,1,0.51282,0.44019,0.55774,2.78604,0.96002,0.000160929,0.000160929,0.000160929
15,111.258,0.51599,1.13807,0.93747,0.00671,1,0.70156,0.64627,0.54591,2.74941,0.94846,0.000168687,0.000168687,0.000168687
16,118.489,0.53115,1.06154,0.89417,0.0067,1,0.87,0.79361,0.5283,2.75269,0.93618,0.000175785,0.000175785,0.000175785
17,125.684,0.46848,0.87263,0.8995,0.00671,1,0.963,0.86401,0.51197,2.80421,0.92889,0.000182223,0.000182223,0.000182223
18,132.891,0.48041,0.84408,0.87483,0.00671,1,0.963,0.86401,0.51197,2.80421,0.92889,0.000188001,0.000188001,0.000188001
19,140.168,0.54244,0.87229,0.89142,0.00672,1,0.95864,0.87049,0.50806,2.84179,0.92115,0.000193119,0.000193119,0.000193119
20,147.249,0.57249,0.97626,0.96507,0.00672,1,0.95864,0.87049,0.50806,2.84179,0.92115,0.000197576,0.000197576,0.000197576
21,154.399,0.55366,0.85676,0.92386,0.00673,1,0.92567,0.83717,0.51956,2.84016,0.91088,0.000201374,0.000201374,0.000201374
22,161.672,0.5404,0.84417,0.97159,0.00673,1,0.92567,0.83717,0.51956,2.84016,0.91088,0.000204511,0.000204511,0.000204511
23,169.31,0.54915,0.9851,0.95413,0.01404,1,0.91685,0.83758,0.51648,2.80703,0.89845,0.000206988,0.000206988,0.000206988
24,176.836,0.53401,0.82943,0.88255,0.01404,1,0.91685,0.83758,0.51648,2.80703,0.89845,0.000208805,0.000208805,0.000208805
25,184.317,0.47148,0.85214,0.88139,1,0.46236,0.75865,0.68153,0.52933,2.70229,0.88774,0.000209962,0.000209962,0.000209962
26,191.639,0.45102,0.8171,0.89296,1,0.46236,0.75865,0.68153,0.52933,2.70229,0.88774,0.000210459,0.000210459,0.000210459
27,198.803,0.492,0.7504,0.88349,0.98887,0.5,0.72645,0.65605,0.53238,2.58918,0.87028,0.000210295,0.000210295,0.000210295
28,205.971,0.51565,0.77669,0.92343,0.98887,0.5,0.72645,0.65605,0.53238,2.58918,0.87028,0.000209472,0.000209472,0.000209472
29,213.207,0.49059,0.74473,0.88391,0.98058,0.5,0.77155,0.67841,0.54888,2.46141,0.84488,0.000207988,0.000207988,0.000207988
30,220.303,0.48996,0.76209,0.89347,0.98058,0.5,0.77155,0.67841,0.54888,2.46141,0.84488,0.000205844,0.000205844,0.000205844
31,227.417,0.41573,0.73038,0.92417,1,0.49769,0.8412,0.74629,0.55802,2.36888,0.84413,0.000203041,0.000203041,0.000203041
32,234.384,0.50874,0.83957,0.89999,1,0.49769,0.8412,0.74629,0.55802,2.36888,0.84413,0.000199577,0.000199577,0.000199577
33,241.662,0.51339,0.75924,0.9173,1,0.49532,0.93587,0.82587,0.53214,2.29159,0.83804,0.000195452,0.000195452,0.000195452
34,248.58,0.483,0.84031,0.89666,1,0.49532,0.93587,0.82587,0.53214,2.29159,0.83804,0.000190668,0.000190668,0.000190668
35,255.801,0.44235,0.73127,0.87244,1,0.49765,0.995,0.8845,0.49733,2.21026,0.83276,0.000185224,0.000185224,0.000185224
36,262.831,0.41825,0.73655,0.87776,1,0.49765,0.995,0.8845,0.49733,2.21026,0.83276,0.000179119,0.000179119,0.000179119
37,270.134,0.42778,0.73465,0.84817,0.99896,0.5,0.995,0.91521,0.46534,2.14352,0.83148,0.000172354,0.000172354,0.000172354
38,277.306,0.51977,0.81574,0.92972,0.99896,0.5,0.995,0.91521,0.46534,2.14352,0.83148,0.00016493,0.00016493,0.00016493
39,284.646,0.49007,0.74884,0.91815,0.99596,0.5,0.995,0.93011,0.45025,2.07648,0.82994,0.000156845,0.000156845,0.000156845
40,292.356,0.43474,0.69884,0.86744,0.99596,0.5,0.995,0.93011,0.45025,2.07648,0.82994,0.0001481,0.0001481,0.0001481
41,299.3,0.41022,1.21246,0.88846,0.99467,0.5,0.995,0.92987,0.45644,2.05842,0.83268,0.000138694,0.000138694,0.000138694
42,306.426,0.36095,1.06427,0.87868,0.99467,0.5,0.995,0.92987,0.45644,2.05842,0.83268,0.000128629,0.000128629,0.000128629
43,313.494,0.40417,1.08775,0.84895,0.99496,0.5,0.995,0.91907,0.46502,2.06926,0.83703,0.000117904,0.000117904,0.000117904
44,320.69,0.38291,1.04574,0.8281,0.99496,0.5,0.995,0.91907,0.46502,2.06926,0.83703,0.000106518,0.000106518,0.000106518
45,327.918,0.35424,1.03335,0.81841,0.99584,0.5,0.995,0.92044,0.4745,2.1062,0.83887,9.44722e-05,9.44722e-05,9.44722e-05
46,334.953,0.3715,0.9376,0.84818,0.99584,0.5,0.995,0.92044,0.4745,2.1062,0.83887,8.17663e-05,8.17663e-05,8.17663e-05
47,341.937,0.41148,1.00281,0.83311,0.99709,0.5,0.995,0.91931,0.48256,2.11581,0.83845,6.84003e-05,6.84003e-05,6.84003e-05
48,349.137,0.3392,0.91201,0.86295,0.99709,0.5,0.995,0.91931,0.48256,2.11581,0.83845,5.43742e-05,5.43742e-05,5.43742e-05
49,356.269,0.34588,0.90823,0.82635,0.99791,0.5,0.995,0.91515,0.49071,2.10199,0.83781,3.96879e-05,3.96879e-05,3.96879e-05
50,363.352,0.35063,0.90926,0.85454,0.99791,0.5,0.995,0.91515,0.49071,2.10199,0.83781,2.43415e-05,2.43415e-05,2.43415e-05
