epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.219,3.07728,11.9516,3.86553,0.00333,1,0.1407,0.04373,0.91037,5.41778,1.78002,0,0,0
2,70.4498,3.65286,14.3568,4.58564,0.00333,1,0.17593,0.0605,0.8945,5.40398,1.80712,1.802e-05,1.802e-05,1.802e-05
3,102.977,3.2977,11.7896,3.99559,0.00333,1,0.22491,0.08407,0.88394,5.33717,1.77951,3.208e-05,3.208e-05,3.208e-05
4,134.982,3.05614,10.6307,3.77427,0.00333,1,0.37186,0.17064,0.94938,5.29317,1.75452,4.218e-05,4.218e-05,4.218e-05
5,167.669,3.19352,10.9461,4.09857,0.00333,1,0.6709,0.29177,1.04513,5.41737,1.82459,4.832e-05,4.832e-05,4.832e-05
6,198.876,2.1584,8.67966,2.84288,0.00333,1,0.56934,0.25951,1.18708,5.50087,1.89796,5.05e-05,5.05e-05,5.05e-05
7,231.147,2.05854,7.88309,2.87382,0.00333,1,0.54818,0.2805,1.34221,5.69031,1.98514,4.872e-05,4.872e-05,4.872e-05
8,263.458,2.12375,8.03827,2.82165,0.00333,1,0.60854,0.27785,1.50947,5.66915,2.09223,4.298e-05,4.298e-05,4.298e-05
