epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,72.4438,0.47504,1.02076,0.9119,0.79986,0.83333,0.69732,0.6105,0.53035,2.49029,0.99697,0.000401004,0.000401004,0.000401004
15,77.2524,0.51548,0.94957,0.99061,0.79986,0.83333,0.69732,0.6105,0.53035,2.49029,0.99697,0.000419224,0.000419224,0.000419224
16,82.2203,0.61474,0.98865,0.99653,0.83032,0.83333,0.72478,0.66562,0.53063,2.43374,1.00564,0.00043586,0.00043586,0.00043586
17,87.2444,0.49129,0.90906,0.93558,0.83289,0.8311,0.72481,0.67724,0.58233,2.47689,1.02581,0.000450912,0.000450912,0.000450912
18,91.9539,0.47629,0.86663,0.9113,0.83289,0.8311,0.72481,0.67724,0.58233,2.47689,1.02581,0.00046438,0.00046438,0.00046438
19,96.5857,0.5699,0.92417,0.99227,0.831,0.82165,0.72484,0.6574,0.59093,2.57931,1.03756,0.000476264,0.000476264,0.000476264
20,101.256,0.64577,1.00309,1.06265,0.831,0.82165,0.72484,0.6574,0.59093,2.57931,1.03756,0.000486564,0.000486564,0.000486564
21,105.967,0.51258,0.88816,0.96049,0.82739,0.80362,0.72486,0.6531,0.5355,2.67497,0.97576,0.00049528,0.00049528,0.00049528
22,110.636,0.56423,0.88016,1.05301,0.82739,0.80362,0.72486,0.6531,0.5355,2.67497,0.97576,0.000502412,0.000502412,0.000502412
23,115.409,0.48715,1.02275,0.99441,0.83244,0.82885,0.72471,0.62964,0.64556,2.64028,0.97604,0.00050796,0.00050796,0.00050796
24,120.004,0.50234,0.92002,0.93898,0.83244,0.82885,0.72471,0.62964,0.64556,2.64028,0.97604,0.000511924,0.000511924,0.000511924
25,124.699,0.47567,0.83794,0.915,0.8233,0.83333,0.72455,0.65614,0.6386,2.46034,0.96523,0.000514304,0.000514304,0.000514304
26,129.399,0.54821,1.08965,1.02657,0.8233,0.83333,0.72455,0.65614,0.6386,2.46034,0.96523,0.0005151,0.0005151,0.0005151
27,134.095,0.54861,0.87173,0.96066,0.8233,0.83333,0.72455,0.65614,0.6386,2.46034,0.96523,0.000514312,0.000514312,0.000514312
28,138.82,0.50575,0.88441,1.00715,0.82657,0.83333,0.72461,0.65215,0.6659,2.18428,1.06484,0.00051194,0.00051194,0.00051194
29,143.438,0.43605,0.79995,0.90225,0.82657,0.83333,0.72461,0.65215,0.6659,2.18428,1.06484,0.000507984,0.000507984,0.000507984
